policy_number,months_insured,has_claims,items_insured,claim_reference,insured_name,policy_start_date,date_of_loss,date_reported,claim_status,loss_type,paid_amount,reserve_amount,total_incurred,claim_propensity
POL1400,98,TRUE,10,CLM1400,,2020-06-14,2020-12-26,2025-07-09,Open,Fire,26572.98,4633.89,31206.87,0.17
POL1401,27,FALSE,5,,"Wilson, Stewart and Johnson",2022-12-29,,,,,0,0,0,0
POL1402,50,TRUE,5,CLM1402,"Martinez, Morgan and Lawson",2020-02-25,2020-12-12,2021-01-10,Open,Theft,28863.59,24558.5,53422.09,0.74
POL1403,71,FALSE,9,,Gutierrez Inc,2020-09-14,,,,,0,0,0,0
POL1404,76,TRUE,8,CLM1404,"Collins, Price and Williams",2020-02-15,2021-02-07,2021-02-22,Closed,Theft,26033.29,21310.66,47343.95,0.05
POL1405,38,FALSE,9,,"Jackson, Hull and Mcintosh",2020-11-17,,,,,0,0,0,0
POL1406,97,TRUE,9,CLM1406,Brown-Kelly,2021-05-28,2022-04-03,2022-04-27,Closed,Property Damage,42833.8,16870.05,59703.85,0.58
POL1407,95,FALSE,9,,"Avila, Chambers and Hart",2020-04-12,,,,,0,0,0,0
POL1408,97,FALSE,3,,Gutierrez-Johnson,2021-09-03,,,,,0,0,0,0
POL1409,103,TRUE,4,CLM1409,Lee-Hughes,2022-11-18,2023-03-29,2023-04-28,Closed,Liability,43600.5,11771.63,55372.13,0.57
POL1410,12,TRUE,4,CLM1410,Davis-Johnson,2023-11-27,2024-07-06,2024-07-18,Pending,Property Damage,4130.62,7765.46,11896.08,0.82
POL1411,88,FALSE,7,,Thompson PLC,2022-10-10,,,,,0,0,0,0
POL1412,20,TRUE,10,CLM1412,"Valdez, Smith and Bryant",2020-04-15,2021-01-05,2021-01-27,Pending,Property Damage,21869.77,8545.12,30414.89,0.75
POL1413,67,TRUE,10,CLM1413,"Reese, Neal and Alvarez",2020-09-25,2021-01-18,2021-02-01,Pending,Liability,34955.03,18652.87,53607.9,0.06
POL1414,79,TRUE,3,CLM1414,Nichols Group,2023-11-08,2024-01-25,2024-02-13,Open,Fire,42191.26,23627.26,65818.52,0.08
POL1415,20,TRUE,3,CLM1415,Johnson-Black,2022-10-21,2023-08-03,2023-08-26,Pending,Liability,23259.88,1618.59,24878.47,0.53
POL1416,7,TRUE,6,CLM1416,Cook Inc,2022-04-20,2022-08-15,2022-08-24,Pending,Water Damage,32936.25,10953.12,43889.37,0.1
POL1417,106,TRUE,8,CLM1417,Donaldson-Moore,2020-11-28,2021-08-27,2021-09-17,Open,Liability,16023.29,4507.15,20530.44,0.24
POL1418,1,TRUE,8,CLM1418,"Garrett, Mitchell and Johnson",2020-05-16,2020-10-18,2020-11-05,Closed,Property Damage,21506.79,21830.3,43337.09,0.73
POL1419,29,FALSE,3,,Morgan-Blackburn,2023-01-23,,,,,0,0,0,0
POL1420,84,FALSE,1,,"Thomas, Thompson and Mccall",2021-10-08,,,,,0,0,0,0
POL1421,6,FALSE,1,,"Frazier, Hahn and Villa",2020-03-24,,,,,0,0,0,0
POL1422,49,FALSE,4,,Dougherty-Webb,2020-07-16,,,,,0,0,0,0
POL1423,101,TRUE,5,CLM1423,"Gregory, Williams and Allen",2023-08-14,2024-06-24,2024-06-26,Pending,Property Damage,24954.59,23288.01,48242.6,0.91
POL1424,106,FALSE,1,,Murphy-Burch,2020-02-25,,,,,0,0,0,0
POL1425,92,FALSE,9,,Perez-Johns,2022-04-18,,,,,0,0,0,0
POL1426,107,FALSE,4,,Cox-Cunningham,2020-10-30,,,,,0,0,0,0
POL1427,45,TRUE,4,CLM1427,Cunningham-Smith,2023-11-15,2024-02-14,2024-03-02,Closed,Fire,15683.96,6363.11,22047.07,0.93
POL1428,69,TRUE,1,CLM1428,"Smith, Price and Solis",2020-03-31,2020-05-07,2020-05-11,Open,Fire,2469.69,18660.19,21129.88,0.5
POL1429,19,TRUE,5,CLM1429,Smith LLC,2022-09-21,2023-08-06,2023-08-16,Open,Theft,39402.57,8205.24,47607.81,0.82
