id,first_name,last_name,email,gender,ip_address,phone_number,date_of_birth,SSN,Address,City,State,Postal_Code,Country,Account_Balance,loyalty_points,signup_date,notes_extra
1,Therese,Mingo,tmingo0@nature.com,Female,149.54.81.209,522-968-5977,6/21/95,173-46-4886,61106 Northfield Hill,Naikoten Dua,,,Indonesia,7033,8644,6/26/15,Met with Jane Doe on 2022-08-15. Shared SSN: 123-45-6789 for credit check.
2,Martguerita,Goforth,mgoforth1@webmd.com,Female,41.39.35.250,819-133-5238,5/29/55,170-05-2865,86 Portage Place,Qabqir,,,China,6686,4830,3/8/14,Customer prefers email contact only. Email: terry_w@email.com.
3,Beck,Colombier,bcolombier2@yellowpages.com,Male,67.237.37.250,978-825-0815,11/22/82,162-95-6568,20 Bonner Way,Nyala,,,Sudan,6381,136,12/5/11,Reported lost credit card ending 4321. Bank account tied to Chase.
4,Atlanta,Elman,aelman3@google.com.br,Female,198.107.36.49,134-520-9107,10/26/78,582-71-8882,93 Gerald Trail,Wojciechów,,24-204,Poland,6881,8722,9/27/15,Follow up with Richard Roe at +1-555-222-3344 regarding refund.
5,Lyssa,Bridewell,lbridewell4@wunderground.com,Female,192.193.210.125,861-918-9760,3/18/72,247-15-7304,470 Center Trail,Xekar,,,China,8742,444,6/10/21,User Jie Liu shared passport number A1234567 for travel insurance claim.
6,Kial,Riccioppo,kriccioppo5@state.tx.us,Female,114.225.92.252,842-606-6702,12/3/85,287-16-5319,474 Ronald Regan Circle,Stari Kuty,,,Ukraine,9985,7065,5/15/18,Discussed medical history with Mateo Jackson. Condition: Diabetes Type 2.
7,Gisela,Drackford,gdrackford6@photobucket.com,Female,51.9.187.211,811-109-6132,1/16/99,705-82-3408,693 Judy Junction,Uvarovo,,393479,Russia,3943,2420,1/15/17,"Xiulan Wang requested address update to 987 Pine Rd, Springfield."
8,Jobye,Baile,jbaile7@imgur.com,Female,238.223.209.27,795-998-8169,6/18/67,289-22-7688,5105 Stone Corner Crossing,Salamá,,15001,Guatemala,4966,4109,5/12/18,Saanvi Sarkar provided driver's license OR-99887766 for verification.
9,Tammara,Cory,tcory8@mayoclinic.com,Female,125.68.22.122,903-725-9806,5/3/51,359-79-4738,68231 Mosinee Road,Paraparaumu,,5254,New Zealand,4780,4947,3/22/10,Terry Whitlock disclosed PayPal account: terry.whitlock@payments.com.
10,Clyve,Bawles,cbawles9@woothemes.com,Male,101.44.109.25,318-326-3423,5/30/61,497-27-6396,8 Kropf Pass,Golčův Jeníkov,,582 82,Czech Republic,9307,60,11/30/21,Arnav Desai contacted from IP 192.168.1.55 about login issue.
11,Pennie,Petrie,ppetriea@arstechnica.com,Female,184.44.235.26,617-734-9860,2/6/63,652-47-7253,0 Merchant Avenue,Murowana Goślina,,62-096,Poland,8722,5662,11/24/19,Met with Jane Doe on 2022-08-15. Shared SSN: 123-45-6789 for credit check.
12,Livvy,Bellord,lbellordb@dailymotion.com,Female,134.42.209.74,745-872-1783,4/20/60,601-13-3158,66360 Brickson Park Park,Santa Cruz,Chiapas,30560,Mexico,1084,4141,11/8/13,Customer prefers email contact only. Email: terry_w@email.com.
13,Morey,Jorioz,mjoriozc@51.la,Male,39.112.106.119,235-857-1087,4/12/58,148-42-3280,68715 Michigan Pass,Pomahan,,,Indonesia,2964,7492,5/21/19,Reported lost credit card ending 4321. Bank account tied to Chase.
14,Roth,Junkison,rjunkisond@un.org,Male,47.3.175.17,641-724-8348,7/15/85,113-27-3269,9994 Kim Point,Nekla,,62-330,Poland,1338,9909,12/6/23,Follow up with Richard Roe at +1-555-222-3344 regarding refund.
15,Filip,Weddeburn - Scrimgeour,fweddeburnscrimgeoure@intel.com,Male,220.47.75.12,116-439-5903,2/19/96,247-77-9938,983 Acker Trail,Chirpan,,6200,Bulgaria,6623,7161,2/6/17,User Jie Liu shared passport number A1234567 for travel insurance claim.
16,Ardenia,Gore,agoref@stanford.edu,Bigender,225.10.154.2,150-377-6965,3/3/99,844-31-8948,91718 Fisk Way,Stari Banovci,,,Serbia,1124,2228,3/20/16,Discussed medical history with Mateo Jackson. Condition: Diabetes Type 2.
17,Angelo,Hankey,ahankeyg@a8.net,Male,222.223.162.214,712-715-3823,7/1/52,226-22-4404,1 Carey Street,Hồ Xá,,,Vietnam,2417,1158,8/20/18,"Xiulan Wang requested address update to 987 Pine Rd, Springfield."
18,Giusto,Valentin,gvalentinh@networkadvertising.org,Male,65.166.227.112,416-357-4694,2/3/91,453-21-9057,65597 Westridge Park,Dubti,,,Ethiopia,3110,4915,11/30/12,Saanvi Sarkar provided driver's license OR-99887766 for verification.
19,Anthia,Nunson,anunsoni@omniture.com,Genderqueer,7.13.60.33,827-838-8294,7/27/78,283-96-6072,91791 Cascade Trail,Sukamaju,,,Indonesia,584,8536,5/20/11,Terry Whitlock disclosed PayPal account: terry.whitlock@payments.com.
20,Zack,Ladley,zladleyj@dyndns.org,Male,246.137.228.20,349-178-8699,10/17/60,171-85-6639,3 Parkside Terrace,Quxia,,,China,2856,4043,5/23/18,Arnav Desai contacted from IP 192.168.1.55 about login issue.
21,Early,Swannell,eswannellk@fotki.com,Male,178.216.108.215,121-408-1986,3/27/89,630-62-7788,830 Northport Point,Torbeck,,,Haiti,9243,5671,1/1/13,Met with Jane Doe on 2022-08-15. Shared SSN: 123-45-6789 for credit check.
